[260428_105650_876313], [1], [0.0, 0.0, 0.0, 0.0, 0.0, -1.2177091836929321, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.5883422242477536e-06, -9.736882930155843e-06, -1.2177091836929321, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 0.0, 37.5, 0.0, 48.046875, 5.859375] 
[260428_105651_072521], [2], [0.0, 0.0, 0.0, 0.0, 0.0, -3.978463649749756, -0.027849147096276283, -0.004413026385009289, 0.0, 0.0, 0.0, 0.0, 0.0, -1.6688252799212933e-05, 1.8501159502193332e-05, 2.3047213554382324, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38778752088546753, 0.0038458837661892176, 0.1980333924293518, 3.528242588043213, 0.09050089865922928, 0.0, 0.0, 0.0, 150.0, 0.0, 37.5, 0.0, 47.75390625, 6.4453125] 
[260428_105651_268503], [3], [0.0, 0.0, 0.0, 0.0, 0.0, -3.126110076904297, 0.002207942306995392, -0.016469493508338928, 0.0, 0.0, 0.0, 0.0, 0.0, -1.4665267372038215e-05, -2.2706808522343636e-07, -3.126110553741455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37083566188812256, 1.254523515701294, 0.13275733590126038, 2.3507080078125, 0.09533713012933731, 0.0, 0.0, 0.0, 150.0, 0.0, 37.5, 0.0, 47.75390625, 6.4453125] 
[260428_105651_470343], [4], [0.0, 0.0, 0.0, 0.0, 0.0, -3.0366644859313965, 0.09063778072595596, -0.025651950389146805, 0.0, 0.0, 0.0, 0.0, 0.0, -2.9690563678741455e-06, -3.1268427846953273e-07, -3.0366649627685547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.459897518157959, 19.637344360351562, 0.2469860464334488, 2.606182098388672, 0.17600418627262115, 0.0, 0.0, 0.0, 100.0, 0.0, 37.5, 0.0, 47.75390625, 6.4453125] 
[260428_105651_716232], [5], [0.0, 0.0, 0.0, 0.0, 0.0, -4.618556976318359, -0.003936402499675751, -0.02331974357366562, 0.0, 0.0, 0.0, 0.0, 0.0, -1.200955011881888e-06, 1.2761429388774559e-05, 1.6646281480789185, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.244650363922119, 65.16345977783203, 0.24860262870788574, 3.3020236492156982, 0.1800665408372879, 0.00010962544911308214, 0.0, 0.0, 100.0, 0.0, 37.5, 0.0, 47.75390625, 6.4453125] 
[260428_105651_900445], [6], [0.0, 0.0, 0.0, 0.0, 0.0, -7.7302775382995605, -0.11856541037559509, -0.020983122289180756, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5276385713368654e-06, -2.032867632806301e-05, -1.4470926523208618, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.061296463012695, 135.33412170410156, 0.33852431178092957, 0.9614863395690918, 0.32641205191612244, 0.0033019455149769783, 0.0, 0.0, 75.0, 0.234375, 37.5, 4.6875, 47.75390625, 6.4453125] 
[260428_105652_089199], [7], [0.0, 0.0, 0.0, 0.0, 0.0, -10.441751480102539, -0.0663129910826683, -0.039106473326683044, 0.0, 0.0, 0.0, 0.0, 0.0, -7.881695637479424e-06, 1.2745789717882872e-05, 2.1246185302734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.706936836242676, 494.80316162109375, 0.3828546404838562, 1.53938627243042, 0.4457741379737854, 0.003155530197545886, 0.0, 0.0, 75.0, 0.46875, 37.5, 4.6875, 47.75390625, 6.4453125] 
[260428_105652_275915], [8], [0.0, 0.0, 0.0, 0.0, 0.0, -9.506896018981934, 0.04012750834226608, -0.08488017320632935, 0.0, 0.0, 0.0, 0.0, 0.0, -1.527586209704168e-05, 1.2572563719004393e-06, 3.059474229812622, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.87669849395752, 4365.4296875, 0.3987646698951721, 1.2770317792892456, 0.4473321735858917, 0.006792598403990269, 0.0, 0.0, 75.0, 0.703125, 37.5, 4.6875, 47.75390625, 6.4453125] 
[260428_105652_518922], [9], [0.0, 0.0, 0.0, 0.0, 0.0, -11.450316429138184, 0.1316259503364563, -0.14581725001335144, 47.75390625, 5.859375, 0.0, 0.0, 0.0, 8.463874110020697e-06, 1.7311424016952515e-05, 1.1160532236099243, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.895559310913086, 37169.9765625, 0.4771585464477539, 0.9737353920936584, 0.4760379493236542, 0.0, 0.0, 95.80078125, 60.0, 0.9375, 37.5, 4.6875, 47.75390625, 6.4453125] 
[260428_105652_707699], [10], [0.0, 0.0, 0.0, 0.0, 0.0, -13.577662467956543, 0.07266849279403687, -0.2045949101448059, 61.23046875, 5.859375, 0.0, 0.0, 0.0, 1.456867903470993e-05, -2.326304093003273e-05, -1.0112924575805664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.491134643554688, 208061.09375, 0.4665396213531494, 0.9770746231079102, 0.31914404034614563, 0.0, 0.0, 144.140625, 60.0, 1.171875, 37.5, 4.6875, 47.75390625, 6.4453125] 
